dataset,n,delta,kappa,cp_gap,risk_gap,nc
diabetes,442,0,1.139578406145878,-15.849901896360507,-921.4956255179382,110
diabetes,442,0,1.645314889218806,-18.71564282952542,-648.2212851589838,110
diabetes,442,0,2.4683018034802506,-25.986292337139815,-803.7171074643238,110
diabetes,442,0,1.9704597768900631,-24.562325103027575,-535.9312617206051,110
diabetes,442,0,1.9407363944751208,-27.031469436653452,-1021.1690398921405,110
diabetes,442,0,1.3590202337586659,-18.03402166741489,-470.7609737040557,110
diabetes,442,1,0.2856096255491817,3.83465179311483,-1032.493052062096,110
diabetes,442,0,0.6194255720385977,-6.1209772547578325,-429.2660575983555,110
diabetes,442,1,0.06268788776637318,0.8196976641831952,-780.5156463411276,110
diabetes,442,0,1.055275816053574,-12.177114000562426,-405.6221775820022,110
diabetes,442,0,0.982025879713624,-12.59763771752236,-829.447315531248,110
diabetes,442,0,0.26126028189414496,-3.257193488931563,-728.3798397779383,110
diabetes,442,0,0.5628096914361086,-6.514676305740949,-562.6543971931064,110
diabetes,442,0,0.6227809012431094,-7.7123427360861,-268.92089218636283,110
diabetes,442,0,0.25617238049540797,-3.022174995712845,-647.4259224386551,110
diabetes,442,1,0.44973342124972476,6.664323981484955,-717.4739778004323,110
diabetes,442,0,1.6479548165592945,-17.937622582782893,-662.0257657890893,110
diabetes,442,0,0.7302881115133179,-7.594485889631073,-916.9433668422312,110
diabetes,442,0,0.7524926976431484,-8.434309121338288,-436.53375007306977,110
diabetes,442,0,0.757191084195424,-8.676593385817739,-903.994047139272,110
diabetes,442,0,2.198402958638619,-25.71855755969318,-819.3376544498019,110
diabetes,442,0,0.8835170483919071,-9.76736142204794,-675.9036493673734,110
diabetes,442,0,0.9447656402531095,-10.479850844678566,-832.6713615947397,110
diabetes,442,0,1.7371652018237904,-22.825783290400693,-663.9844820095186,110
diabetes,442,0,0.5216297706570644,-6.026644919740363,-914.2740256260645,110
diabetes,442,0,1.08314685382445,-13.458223617883647,-481.7552766984563,110
diabetes,442,0,1.2974032008500953,-16.741233713426197,-783.946225160114,110
diabetes,442,1,0.020716529945758098,0.22941666046054365,-774.1970991307289,110
diabetes,442,1,1.6269244295117602,21.01795092311903,-1085.4775972978055,110
diabetes,442,0,1.3581340307183642,-16.109616129023237,-483.368233044162,110
diabetes,442,0,0.20060929482856485,-2.6622290469318557,-458.17460055034326,110
diabetes,442,1,0.5418851030448908,6.995424029340484,-714.5962826596706,110
diabetes,442,0,1.054673598105969,-11.861992674566523,-1170.716446183203,110
