n,delta,kappa,cp_gap,risk_gap,nc,n_group
30,0,0.562344411484676,0.2997042963837062,3.6980885288575456,10,30
30,0,7.448373413994664,2.9741915783527366,6.409812533904769,10,30
30,0,3.319188096778484,1.604005281150283,6.314852399886361,10,30
30,0,4.151235905643772,-2.1362708150829297,-1.4335753875010728,10,30
30,0,3.0743965128709774,1.649666195425314,0.8461515356255052,10,30
30,0,10.346239822341602,3.4910772217301402,2.8284675976041456,10,30
30,0,8.381539797281034,3.649428971077819,6.493036650784957,10,30
30,1,1.562328813377915,-0.7906803573557806,2.8963060194418193,10,30
30,0,6.286887729786899,2.397529607945998,7.995602297100701,10,30
30,1,1.2278298432833539,-0.3716754397359052,0.6949721676638932,10,30
30,0,6.332483944382841,3.1814564282357596,3.007765049285064,10,30
30,0,7.696847521179244,3.6112103518105867,4.310085490890235,10,30
30,0,5.593615345304702,2.548502201191883,0.2712881136810543,10,30
30,0,2.573050525990445,0.5934981033458762,5.056747977826509,10,30
30,1,5.921190382420203,-1.554009302901754,1.4372780109191041,10,30
30,1,4.825758405160855,2.1270798568583746,-0.7314195455886467,10,30
30,0,8.694355408981433,3.779564371623674,3.350914263628867,10,30
30,0,1.8340242735586239,0.7878622438985357,0.6786239208161025,10,30
30,0,8.347373858691139,4.171212408966594,2.1322507245680122,10,30
30,0,2.9256525153370125,0.8422641826008972,1.2759971526628326,10,30
30,0,3.9571747293255775,1.0780265059168301,1.1586000023488106,10,30
30,0,0.6239702395274765,0.333008426934545,2.1151271798527986,10,30
30,0,4.1581827262753865,2.353507383644705,3.978446077882583,10,30
30,0,6.132826900412883,3.6075319056436967,0.15180959428118768,10,30
30,0,3.4578393135134107,1.4045083663988076,4.135758744734245,10,30
30,0,1.9694518917357795,0.8852452053457176,3.4969846049480298,10,30
30,0,4.0711527140558434,1.686327246443001,2.5006669627617377,10,30
30,0,2.4813006173819065,1.0910995292796795,0.6891439426261075,10,30
30,0,1.5897174974076922,0.7014537085028416,2.011193391878522,10,30
30,1,6.3535050737154855,5.221497282640769,-3.9601548988412008,10,30
30,0,2.7460587214647076,0.821094855189684,4.24494989500851,10,30
30,0,4.527567041521454,2.0210590469140453,2.3869489269159145,10,30
30,0,8.447666559759307,2.787075855818654,2.5127164414859373,10,30
30,0,2.558524372758246,1.2866856341686859,3.262309051663173,10,30
30,0,7.271057859066095,3.6794238356969897,0.6162013442285428,10,30
30,1,1.0011947856914336,-0.5524189862751969,0.45726568381950017,10,30
30,0,6.593304927278539,1.4808187645601218,2.791692479116038,10,30
30,0,13.750690611744051,6.666108781012188,4.3231282803743,10,30
30,0,2.1735213140361984,0.6209941313851468,4.56961133709625,10,30
30,0,3.3471741398046846,1.139389257179312,1.6950963252874156,10,30
30,0,4.621463056552659,1.9077727726225038,0.609199495055377,10,30
30,0,4.116980347623212,1.1947002967231755,5.450195180496614,10,30
30,0,5.095836234508689,1.3397407292238768,2.1044923332940373,10,30
30,1,4.344442628937952,3.079409984128642,-0.008081355828657877,10,30
30,0,9.86746828972912,2.7081260631628927,7.008590783312101,10,30
30,0,11.967243309528108,5.724380004333213,1.6863410591814703,10,30
30,0,3.4555694250355353,1.8601166894961754,1.5800323209274492,10,30
30,0,10.829974942207537,2.4488083666155176,0.3919899599949075,10,30
30,0,0.36216487695247807,0.2187150286342172,2.544866625498118,10,30
30,0,3.62674030367752,-1.2936855867769186,-0.7428192156920717,10,30
30,0,1.7318269008057654,0.8143652718910763,0.9650122701397685,10,30
30,0,12.301335189243279,4.998751768846509,3.725684150116404,10,30
30,0,3.4101039351627542,2.5352924263632,1.9180409038651953,10,30
30,0,5.185497710186947,1.8498002637401894,5.150021647725524,10,30
30,0,9.004065463598435,3.42712217610852,1.2895845029933353,10,30
30,0,7.990817680417404,3.2748270733013767,0.62859582323545,10,30
30,0,5.320645045598127,2.3320818310961333,2.026791808140996,10,30
30,0,6.147589793709727,2.6537787644203465,7.031096281580348,10,30
30,0,6.873140556405593,2.7178132198522844,0.6780915799394485,10,30
30,0,0.39330665864892833,0.1478084862673601,1.5607160379753127,10,30
30,1,1.1035499970909783,-0.4808834679502558,3.019826204833752,10,30
30,0,6.854650086196414,3.834200489444508,4.6890507358549405,10,30
30,0,5.457998085895294,1.8669474917471027,7.403433917245224,10,30
30,1,2.858931203654529,-1.3209227123038634,1.9961656649775046,10,30
30,0,5.411673244018969,1.4546774522116825,1.8607570715469066,10,30
30,0,5.9353101883593355,1.5474749111640649,1.5206331284550911,10,30
30,0,6.132540991188556,3.2753156425352143,3.35950305010481,10,30
30,0,7.675445496558432,4.077333721222468,7.32442434723758,10,30
30,0,11.153039946408532,3.4514219079070543,3.828261796848338,10,30
30,0,8.525154571587896,4.193021533228386,1.0087032533296898,10,30
30,0,8.069793416361431,3.4701006004904227,1.5232148685870641,10,30
30,0,2.9007390735167498,1.6682693599095963,4.693183771865748,10,30
30,0,7.050036726729164,3.82761652316594,3.323903102570109,10,30
30,0,8.53644124248235,5.5400399692137965,0.8087373456043812,10,30
30,0,6.698364198345257,2.082635014367266,0.13128321893092165,10,30
30,0,2.671534954767437,2.023413119829926,1.8520060223299915,10,30
