rho,n,p,delta,cp_ols,cp_ridge,risk_ols,risk_ridge
0.0,300.0,50.0,0.0,4.819906233276619,4.805889498534276,1.2797110170066148,1.2551748327648078
0.0,300.0,50.0,1.0,3.6714277157260864,3.6811535378234894,1.1104454790525717,1.1092800676884444
0.0,300.0,50.0,0.0,3.521241738513254,3.519394568610545,1.1058997004951512,1.1003241049562307
0.0,300.0,50.0,0.0,4.006141795719085,3.996717655939195,1.6404370250136815,1.6114459222227937
0.0,300.0,50.0,1.0,3.8658180923046612,3.8895283180755325,1.0572797967732095,1.0398596510223999
0.0,300.0,50.0,0.0,4.034451546486067,3.9695805787205867,2.085096738337123,2.0505004774581304
0.0,300.0,50.0,0.0,4.176654450181923,4.16713878538179,1.1304865059601847,1.1172630570627542
0.0,300.0,50.0,1.0,3.4345356165055323,3.4484505876778972,1.2060758771357916,1.1946292863759445
0.0,300.0,50.0,1.0,3.5652191035338725,3.5675082641609124,1.432214198979285,1.406901340660332
0.0,300.0,50.0,1.0,3.7487629160862572,3.810972026211371,1.5115708722214036,1.5045138572361758
0.0,300.0,50.0,1.0,5.206448691793683,5.2115403962954945,2.0284896404349295,1.9969796903966859
0.0,300.0,50.0,0.0,3.846404462224584,3.802461760826447,1.4564142835241343,1.4378579962377125
0.0,300.0,50.0,0.0,3.8276060452892975,3.8100222877983376,1.199536520753899,1.192038565640854
0.0,300.0,50.0,0.0,3.9599107689835353,3.94691931296083,1.5222183151192255,1.4996109614056794
0.0,300.0,50.0,1.0,3.584342767801593,3.599282698797299,1.5912204070089755,1.5722678039714704
0.0,300.0,50.0,0.0,4.260546494646533,4.236776448741308,1.1194089749530396,1.114770144374207
0.0,300.0,50.0,1.0,3.472831377514326,3.486752199310401,1.9024419176925986,1.8835391013331373
0.0,300.0,50.0,1.0,4.330352757840385,4.368182727912958,1.9100810530393544,1.8980094300176056
0.0,300.0,50.0,1.0,3.982304906543685,3.93993651662931,1.2980580809780593,1.3081403363409103
0.0,300.0,50.0,0.0,3.700919838364976,3.6648853441421894,2.060196269767475,2.0244387837423914
0.0,300.0,50.0,0.0,3.2976988537085474,3.2924429871328056,1.6360998621928589,1.6175314788509885
0.0,300.0,50.0,0.0,4.146664137884674,4.1412689003872,1.6701481046386568,1.6351708651938914
0.0,300.0,50.0,0.0,4.7764966054377265,4.73622821425453,1.9097720197666683,1.8804661451443323
0.0,300.0,50.0,0.0,3.7402134024271683,3.6864081174335226,1.477576751252405,1.4571043014886018
0.0,300.0,50.0,1.0,3.5674672888925802,3.591140422801174,1.0596822540082675,1.0401361034806458
0.0,300.0,50.0,0.0,3.655898166856963,3.5710055064313937,1.5727632524643103,1.5493341164240362
0.0,300.0,50.0,0.0,4.155135189689782,4.12289453993469,1.6356982186950926,1.6152324746531266
0.0,300.0,50.0,0.0,3.892386688598942,3.8481495598299653,1.6978141039657912,1.6666785728276763
0.0,300.0,50.0,0.0,3.8889632112631385,3.790232686331756,2.3399812542114873,2.2837887698642216
0.0,300.0,50.0,0.0,4.340354834413135,4.386072761049373,1.564616894197538,1.5654786493133195
0.0,300.0,50.0,0.0,4.430258139312706,4.400674593577716,1.3644890440915955,1.3504175154072133
0.0,300.0,50.0,1.0,4.072648636461285,4.0741489436668505,1.1805244485747124,1.1682786521688158
0.0,300.0,50.0,0.0,4.176871812450081,4.155928106191243,1.7319406900936982,1.7236118983589575
0.0,300.0,50.0,1.0,4.039430907643724,4.090172066161021,1.9738183831823968,1.9492066160788863
0.0,300.0,50.0,1.0,3.7846974885137086,3.8360443885084514,1.604270559007735,1.5679492063678735
0.0,300.0,50.0,0.0,3.6674993831488534,3.647299533597284,1.1667528943883931,1.1484419592836372
0.0,300.0,50.0,0.0,4.580441428142784,4.50870170425567,1.694146901767345,1.6523105617579152
0.0,300.0,50.0,0.0,4.128732344672531,4.079618275035861,2.3765125909301674,2.352635857818191
0.0,300.0,50.0,0.0,3.945191665196558,3.8822499799012604,2.0005598204156367,1.9925372443717981
0.0,300.0,50.0,1.0,3.771489490488849,3.7875116041317156,1.5582524821329011,1.531946042507688
0.0,300.0,50.0,1.0,3.5377327305935333,3.4741508285382525,1.6641181743714157,1.6692641798510837
