n,delta,kappa,cp_gap,risk_gap,nc
50.0,0.0,2.28319584510844,4.681512496017788,4.839062020959637,15.0
50.0,0.0,5.231906833382991,15.061870017027578,69.88169195528278,15.0
50.0,0.0,1.4201560699946425,1.5051048934088485,0.04908470186258729,15.0
50.0,0.0,2.093983453700185,5.901725724140922,22.96210613876988,15.0
50.0,0.0,1.715886440971318,3.221376418352559,6.376901933981177,15.0
50.0,0.0,1.0418761582800862,1.4137090684715483,3.3423176919486774,15.0
50.0,0.0,2.6195424340675992,11.229897078481557,16.70849924690828,15.0
50.0,0.0,1.1852043838563024,1.991913540420858,0.44683804573830255,15.0
50.0,0.0,3.8287925027080023,17.607385814768737,26.875762251522723,15.0
50.0,0.0,3.052655780151711,8.364961902047677,15.35120960530467,15.0
50.0,0.0,2.3050447544470023,4.327606020278801,4.2955674557848225,15.0
50.0,0.0,2.0801425112948952,5.4408464345159615,26.300968926733123,15.0
50.0,0.0,1.5154810243645054,4.89567680233187,7.554355775795548,15.0
50.0,0.0,2.462727410402939,5.862745588818081,24.043552681496408,15.0
50.0,0.0,3.1850451278990484,13.044068407027577,23.390082941565144,15.0
50.0,0.0,2.7768600378008235,13.179135978240627,24.409436874903935,15.0
50.0,0.0,2.5204823113503187,9.615453687206529,13.610753662656402,15.0
50.0,0.0,2.945119723624378,13.611179045425931,41.457661376979004,15.0
50.0,0.0,3.7448002796728623,6.573857428564465,5.347063912416022,15.0
50.0,0.0,4.47113004586859,20.795621949452844,51.67284224359058,15.0
50.0,0.0,3.4002034321022148,11.898158463809517,14.157264465431888,15.0
50.0,0.0,2.9200498775730073,21.84631834327626,92.35118034757693,15.0
50.0,0.0,2.3789978301957264,5.285265202379619,12.109815478895298,15.0
50.0,0.0,3.333488682257797,6.417570466585057,6.350051921231863,15.0
50.0,0.0,1.8926237617783719,5.243518110730172,10.140889117665191,15.0
50.0,0.0,2.7849831571797576,9.132692772959174,29.366173410229724,15.0
50.0,0.0,2.1815920469856533,5.131776032253196,8.962435587125693,15.0
50.0,0.0,3.052612792036032,6.249113045004828,4.249878124047584,15.0
50.0,0.0,2.9401938706332444,10.064519603728895,19.902730605388324,15.0
50.0,0.0,2.1205325029403848,6.725973242452359,17.149238627465838,15.0
50.0,0.0,1.8208541451906495,4.161224218968516,2.8071982239918007,15.0
50.0,0.0,2.188223914739239,6.236359896229198,24.629776209899486,15.0
50.0,0.0,1.7113102893266077,3.4009035172530924,0.8295536811547501,15.0
50.0,0.0,3.7194861332834286,12.198715459548266,22.10210656736731,15.0
50.0,0.0,2.626148397540488,4.168251491083442,4.026303233182262,15.0
50.0,0.0,3.5809063667123278,15.85479509633746,12.643943834082473,15.0
50.0,0.0,2.4577549652184536,7.924343960081281,22.9084249624293,15.0
50.0,0.0,1.2493026175804622,1.3657109617654957,0.6289881152894763,15.0
50.0,0.0,3.120352265755804,15.423892635766926,32.367204351373125,15.0
50.0,0.0,0.8833792770682564,1.8276239811267692,5.120854827654034,15.0
50.0,0.0,1.6982592158765972,2.0832445219197586,1.4002807723928146,15.0
50.0,0.0,3.3736709089611616,12.2784964035272,10.259160540245052,15.0
50.0,0.0,1.8429311327039637,4.70256906327549,5.217823542831313,15.0
50.0,0.0,4.06732014349276,14.914353924699398,27.42107040736813,15.0
50.0,0.0,2.388854032186985,8.018964779899886,6.721725167062644,15.0
50.0,0.0,2.7099890924387413,5.741124943287782,13.968415308651354,15.0
50.0,0.0,3.1716797073815433,12.492113040516138,10.736879022822835,15.0
50.0,0.0,1.0628325956416569,1.4559108170986494,4.63258693237247,15.0
50.0,0.0,2.8177903335006174,8.85021214977093,12.680490515026017,15.0
