n,delta,kappa,cp_gap,risk_gap,nc,cp_ols,cp_ridge,risk_ols,risk_ridge
50.0,0.0,6.063811933729751,0.9751490352862815,0.6749261693777375,12.0,4.205285978092393,3.2301369428061113,2.5511805871070976,1.87625441772936
50.0,1.0,3.0966751073862437,-0.2484295143998425,0.16789693004815587,12.0,4.918153442865559,5.166582957265401,1.766303244875572,1.5984063148274161
50.0,1.0,0.7832471250815887,-0.10674765777439621,0.24968155367502476,12.0,3.163825328602511,3.2705729863769073,1.48312637844512,1.2334448247700953
50.0,1.0,0.6882253734455996,-0.10409355446666257,2.621868424508804,12.0,4.917731882221721,5.021825436688384,7.337698099119446,4.715829674610641
50.0,0.0,7.624176012619223,0.9463600105554244,0.1384616922191566,12.0,5.4540842293263,4.507724218770876,1.8107195299621488,1.6722578377429922
50.0,0.0,11.003769760620788,2.185874686454148,0.7204307250973276,12.0,7.689486426888314,5.503611740434166,1.9684139585115095,1.2479832334141818
50.0,0.0,2.5515946438551302,0.2515647629503235,0.8196392742719385,12.0,7.596035331526498,7.344470568576175,3.9758548554666784,3.15621558119474
50.0,0.0,3.576308769660702,0.5256652997547748,0.5307735129201931,12.0,5.463780691626586,4.938115391871811,1.8593617042518122,1.328588191331619
50.0,1.0,0.34099455105960225,-0.07231437777299377,0.3165626447727652,12.0,6.518603339186736,6.59091771695973,2.850414837582665,2.5338521928098996
50.0,1.0,1.3618281189268482,-0.13373900182581444,0.6535497448952983,12.0,4.198561485323299,4.332300487149113,3.295562773646862,2.6420130287515637
50.0,1.0,1.1520965123551408,-0.18275805455356853,0.3259255815634172,12.0,2.9702641764908573,3.153022231044426,4.193853255721387,3.86792767415797
50.0,0.0,3.167399813313064,0.6592894417650212,0.21026497042470105,12.0,5.9243014830805985,5.265012041315577,3.905674648390167,3.695409677965466
50.0,0.0,2.444699674829102,0.5330009940598366,0.7181308616193496,12.0,8.655937887842368,8.122936893782532,6.689738276408601,5.9716074147892515
50.0,1.0,3.3450183108946137,-0.3983270306802442,0.7707995583616221,12.0,4.213536753220079,4.611863783900323,3.2322804143986765,2.4614808560370545
